DATE_OF_INTEREST,Cases,Hospitalizations,Deaths,Day_First_Death,Schools_Closed,Non_Essential_Closed,Mask_Mandatory,Daily_High,Daily_Low,Daily_Average,Daily_Change,Day_First_Death2,Day_First_Death2xDaily_Average,Daily_Dev,,,,,,,,
2/29/2020,1,13,0,-11,0,0,0,35,25,30,,121,3630,-19.66901408,,,,,,,,
3/1/2020,1,4,0,-10,0,0,0,44,25,34.5,4.5,100,3450,-15.16901408,,,,,,,,
3/2/2020,0,21,0,-9,0,0,0,58,40,49,14.5,81,3969,-0.669014085,,,,,,,,
3/3/2020,2,18,0,-8,0,0,0,59,49,54,5,64,3456,4.330985915,,,,,,,,
3/4/2020,5,22,0,-7,0,0,0,56,45,50.5,-3.5,49,2474.5,0.830985915,,,,,,,,
3/5/2020,3,22,0,-6,0,0,0,51,39,45,-5.5,36,1620,-4.669014085,,,,,,,,
3/6/2020,7,20,0,-5,0,0,0,45,37,41,-4,25,1025,-8.669014085,,,,,,,,
3/7/2020,7,14,0,-4,0,0,0,48,36,42,1,16,672,-7.669014085,,,,,,,,
3/8/2020,21,17,0,-3,0,0,0,59,35,47,5,9,423,-2.669014085,,,,,,,,
3/9/2020,57,52,0,-2,0,0,0,72,47,59.5,12.5,4,238,9.830985915,,,,,,,,
3/10/2020,70,64,0,-1,0,0,0,65,54,59.5,0,1,59.5,9.830985915,,,,,,,,
3/11/2020,154,87,1,0,0,0,0,57,43,50,-9.5,0,0,0.330985915,,,,,,,,
3/12/2020,356,92,1,1,0,0,0,50,43,46.5,-3.5,1,46.5,-3.169014085,,,,,,,,
3/13/2020,620,148,0,2,0,0,0,70,45,57.5,11,4,230,7.830985915,,,,,,,,
3/14/2020,643,160,2,3,0,0,0,57,43,50,-7.5,9,450,0.330985915,,,,,,,,
3/15/2020,1030,192,6,4,1,0,0,54,40,47,-3,16,752,-2.669014085,,,,,,,,
3/16/2020,2122,306,9,5,1,0,0,45,33,39,-8,25,975,-10.66901408,,,,,,,,
3/17/2020,2453,355,8,6,1,0,0,54,41,47.5,8.5,36,1710,-2.169014085,,,,,,,,
3/18/2020,2975,466,20,7,1,0,0,54,41,47.5,0,49,2327.5,-2.169014085,,,,,,,,
3/19/2020,3703,552,24,8,1,0,0,52,41,46.5,-1,64,2976,-3.169014085,,,,,,,,
3/20/2020,4010,664,46,9,1,1,0,77,47,62,15.5,81,5022,12.33098592,,,,,,,,
3/21/2020,2633,690,44,10,1,1,0,65,40,52.5,-9.5,100,5250,2.830985915,,,,,,,,
3/22/2020,2570,729,49,11,1,1,0,45,33,39,-13.5,121,4719,-10.66901408,,,,,,,,
3/23/2020,3553,1042,82,12,1,1,0,41,36,38.5,-0.5,144,5544,-11.16901408,,,,,,,,
3/24/2020,4486,1163,95,13,1,1,0,55,36,45.5,7,169,7689.5,-4.169014085,,,,,,,,
3/25/2020,4827,1296,121,14,1,1,0,45,40,42.5,-3,196,8330,-7.169014085,,,,,,,,
3/26/2020,5021,1427,188,15,1,1,0,60,38,49,6.5,225,11025,-0.669014085,,,,,,,,
3/27/2020,5088,1394,213,16,1,1,0,69,50,59.5,10.5,256,15232,9.830985915,,,,,,,,
3/28/2020,3452,1340,264,17,1,1,0,54,44,49,-10.5,289,14161,-0.669014085,,,,,,,,
3/29/2020,3521,1393,285,18,1,1,0,47,44,45.5,-3.5,324,14742,-4.169014085,,,,,,,,
3/30/2020,6098,1686,319,19,1,1,0,52,41,46.5,1,361,16786.5,-3.169014085,,,,,,,,
3/31/2020,5257,1537,375,20,1,1,0,49,41,45,-1.5,400,18000,-4.669014085,,,,,,,,
4/1/2020,5148,1465,422,21,1,1,0,56,38,47,2,441,20727,-2.669014085,,,,,,,,
4/2/2020,5752,1608,467,22,1,1,0,58,38,48,1,484,23232,-1.669014085,,,,,,,,
4/3/2020,5638,1598,469,23,1,1,0,52,45,48.5,0.5,529,25656.5,-1.169014085,,,,,,,,
4/4/2020,3847,1341,486,24,1,1,0,62,46,54,5.5,576,31104,4.330985915,,,,,,,,
4/5/2020,3762,1331,542,25,1,1,0,65,47,56,2,625,35000,6.330985915,,,,,,,,
4/6/2020,6348,1692,549,26,1,1,0,66,49,57.5,1.5,676,38870,7.830985915,,,,,,,,
4/7/2020,6045,1563,581,27,1,1,0,68,52,60,2.5,729,43740,10.33098592,,,,,,,,
4/8/2020,5549,1516,532,28,1,1,0,64,49,56.5,-3.5,784,44296,6.830985915,,,,,,,,
4/9/2020,5028,1393,522,29,1,1,0,59,43,51,-5.5,841,42891,1.330985915,,,,,,,,
4/10/2020,4413,1312,507,30,1,1,0,49,37,43,-8,900,38700,-6.669014085,,,,,,,,
4/11/2020,3703,1071,514,31,1,1,0,56,38,47,4,961,45167,-2.669014085,,,,,,,,
4/12/2020,2864,971,538,32,1,1,0,63,44,53.5,6.5,1024,54784,3.830985915,,,,,,,,
4/13/2020,3287,1216,542,33,1,1,0,67,53,60,6.5,1089,65340,10.33098592,,,,,,,,
4/14/2020,4122,1059,492,34,1,1,0,60,47,53.5,-6.5,1156,61846,3.830985915,,,,,,,,
4/15/2020,3867,987,434,35,1,1,0,54,42,48,-5.5,1225,58800,-1.669014085,,,,,,,,
4/16/2020,3524,862,388,36,1,1,1,50,38,44,-4,1296,57024,-5.669014085,,,,,,,,
4/17/2020,3555,896,355,37,1,1,1,51,36,43.5,-0.5,1369,59551.5,-6.169014085,,,,,,,,
4/18/2020,2119,648,355,38,1,1,1,46,41,43.5,0,1444,62814,-6.169014085,,,,,,,,
4/19/2020,2351,600,360,39,1,1,1,63,40,51.5,8,1521,78331.5,1.830985915,,,,,,,,
4/20/2020,3769,726,333,40,1,1,1,57,48,52.5,1,1600,84000,2.830985915,,,,,,,,
4/21/2020,3057,670,291,41,1,1,1,61,39,50,-2.5,1681,84050,0.330985915,,,,,,,,
4/22/2020,3457,605,295,42,1,1,1,51,36,43.5,-6.5,1764,76734,-6.169014085,,,,,,,,
4/23/2020,2831,526,299,43,1,1,1,52,40,46,2.5,1849,85054,-3.669014085,,,,,,,,
4/24/2020,2455,575,289,44,1,1,1,49,42,45.5,-0.5,1936,88088,-4.169014085,,,,,,,,
4/25/2020,1586,401,228,45,1,1,1,65,44,54.5,9,2025,110362.5,4.830985915,,,,,,,,
4/26/2020,1008,372,223,46,1,1,1,51,42,46.5,-8,2116,98394,-3.169014085,,,,,,,,
4/27/2020,2302,457,236,47,1,1,1,50,39,44.5,-2,2209,98300.5,-5.169014085,,,,,,,,
4/28/2020,2709,447,202,48,1,1,1,67,41,54,9.5,2304,124416,4.330985915,,,,,,,,
4/29/2020,2336,403,200,49,1,1,1,59,47,53,-1,2401,127253,3.330985915,,,,,,,,
4/30/2020,2002,316,181,50,1,1,1,60,49,54.5,1.5,2500,136250,4.830985915,,,,,,,,
5/1/2020,1860,352,168,51,1,1,1,66,53,59.5,5,2601,154759.5,9.830985915,,,,,,,,
5/2/2020,1043,254,157,52,1,1,1,73,51,62,2.5,2704,167648,12.33098592,,,,,,,,
5/3/2020,777,215,143,53,1,1,1,80,54,67,5,2809,188203,17.33098592,,,,,,,,
5/4/2020,1532,261,114,54,1,1,1,75,50,62.5,-4.5,2916,182250,12.83098592,,,,,,,,
5/5/2020,1500,230,93,55,1,1,1,63,46,54.5,-8,3025,164862.5,4.830985915,,,,,,,,
5/6/2020,1381,169,100,56,1,1,1,52,45,48.5,-6,3136,152096,-1.169014085,,,,,,,,
5/7/2020,1191,155,73,57,1,1,1,67,46,56.5,8,3249,183568.5,6.830985915,,,,,,,,
5/8/2020,990,133,55,58,1,1,1,57,36,46.5,-10,3364,156426,-3.169014085,,,,,,,,
5/9/2020,563,69,47,59,1,1,1,48,34,41,-5.5,3481,142721,-8.669014085,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
